article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
42252,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/e/ec/FinalGateway.gif/revision/latest?cb=20220817174643,"{""\n\n"": 1}",1
42252,1,The Final Limbos,54,70,internal,https://alldimensions.fandom.com/wiki/The_Final_Limbo,"{""The Final Limbos"": 1}",1
42252,1,Nothing,96,103,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
42252,1,The Last Void,168,181,internal,https://alldimensions.fandom.com/wiki/The_Last_Void,"{""The Last Void"": 1}",1
42252,1,the Final Voids,262,277,internal,https://alldimensions.fandom.com/wiki/The_Final_Void,"{""the Final Voids"": 1}",1
42252,1,the Final Voids,262,277,internal,https://alldimensions.fandom.com/wiki/The_Final_Void,"{""the Final Voids"": 1}",1
42252,1,Nothing,96,103,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
42252,1,Nothing,96,103,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
42252,1,Suns,621,625,internal,https://alldimensions.fandom.com/wiki/Sun,"{""Suns"": 1}",1
42252,1,Nothing,96,103,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
42252,1,Voidseconds,895,906,internal,https://alldimensions.fandom.com/wiki/Voidsecond,"{""Voidseconds"": 1}",1
42252,2,Final Limbo,21,32,internal,https://alldimensions.fandom.com/wiki/The_Final_Limbo,"{""Final Limbo"": 1}",1
42252,2,Nothing,55,62,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
42252,2,Atom,218,222,internal,https://alldimensions.fandom.com/wiki/Atom,"{""Atom"": 1}",1
