ts,script,url,status,category,note
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L21,0,skipped,"Invalid span: start=0, end=0 (line 21)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L22,0,skipped,"Invalid span: start=0, end=0 (line 22)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L24,0,skipped,"Invalid span: start=0, end=0 (line 24)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L25,0,skipped,"Invalid span: start=0, end=0 (line 25)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L26,0,skipped,"Invalid span: start=0, end=0 (line 26)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L27,0,skipped,"Invalid span: start=0, end=0 (line 27)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L28,0,skipped,"Invalid span: start=0, end=0 (line 28)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L1114,0,skipped,"Invalid span: start=0, end=0 (line 1114)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L1212,0,skipped,"Invalid span: start=0, end=0 (line 1212)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L1737,0,skipped,"Invalid span: start=0, end=0 (line 1737)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L2159,0,skipped,"Invalid span: start=0, end=0 (line 2159)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L2160,0,skipped,"Invalid span: start=0, end=0 (line 2160)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L2161,0,skipped,"Invalid span: start=0, end=0 (line 2161)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L2162,0,skipped,"Invalid span: start=0, end=0 (line 2162)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L2741,0,skipped,"Invalid span: start=0, end=0 (line 2741)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L4758,0,skipped,"Invalid span: start=0, end=0 (line 4758)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L4759,0,skipped,"Invalid span: start=0, end=0 (line 4759)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L4992,0,skipped,"Invalid span: start=0, end=0 (line 4992)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L4993,0,skipped,"Invalid span: start=0, end=0 (line 4993)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L5395,0,skipped,"Invalid span: start=0, end=0 (line 5395)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L5829,0,skipped,"Invalid span: start=0, end=0 (line 5829)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L5832,0,skipped,"Invalid span: start=0, end=0 (line 5832)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L5853,0,skipped,"Invalid span: start=0, end=0 (line 5853)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L6180,0,skipped,"Invalid span: start=0, end=0 (line 6180)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L8536,0,skipped,"Invalid span: start=0, end=0 (line 8536)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L8644,0,skipped,"Invalid span: start=0, end=0 (line 8644)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L8646,0,skipped,"Invalid span: start=0, end=0 (line 8646)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L8647,0,skipped,"Invalid span: start=0, end=0 (line 8647)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L8648,0,skipped,"Invalid span: start=0, end=0 (line 8648)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L10989,0,skipped,"Invalid span: start=0, end=0 (line 10989)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L11035,0,skipped,"Invalid span: start=0, end=0 (line 11035)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L11846,0,skipped,"Invalid span: start=0, end=0 (line 11846)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L12260,0,skipped,"Invalid span: start=0, end=0 (line 12260)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L12262,0,skipped,"Invalid span: start=0, end=0 (line 12262)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L12263,0,skipped,"Invalid span: start=0, end=0 (line 12263)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L15112,0,skipped,"Invalid span: start=0, end=0 (line 15112)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L16637,0,skipped,"Invalid span: start=0, end=0 (line 16637)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L16835,0,skipped,"Invalid span: start=0, end=0 (line 16835)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L17664,0,skipped,"Invalid span: start=0, end=0 (line 17664)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L18670,0,skipped,"Invalid span: start=0, end=0 (line 18670)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L18671,0,skipped,"Invalid span: start=0, end=0 (line 18671)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L18672,0,skipped,"Invalid span: start=0, end=0 (line 18672)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L18674,0,skipped,"Invalid span: start=0, end=0 (line 18674)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L18676,0,skipped,"Invalid span: start=0, end=0 (line 18676)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L18677,0,skipped,"Invalid span: start=0, end=0 (line 18677)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L18678,0,skipped,"Invalid span: start=0, end=0 (line 18678)"
2025-09-03 13:25:12,add_probs_to_spans,master_spans_alldimensions.csv#L18683,0,skipped,"Invalid span: start=0, end=0 (line 18683)"
