article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
39331,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/fe/Axions.png/revision/latest?cb=20210821013728,"{""\n\n"": 1}",1
39331,1,EUSI,44,48,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
39331,1,Finality Index,62,76,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
39331,1,FOEI,90,94,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
39331,1,H(-3),134,139,internal,https://alldimensions.fandom.com/wiki/Hyperdimensions,"{""H(-3)"": 1}",1
39331,1,null,397,401,internal,https://alldimensions.fandom.com/wiki/-null-,"{""null"": 1}",1
39331,1,Mathons,403,410,internal,https://alldimensions.fandom.com/wiki/Mathon,"{""Mathons"": 1}",1
39331,1,·s,416,418,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·s"": 1}",1
39331,1,small Axions,447,459,internal,https://alldimensions.fandom.com/wiki/Small_Axion,"{""small Axions"": 1}",1
39331,1,-s,461,463,internal,https://alldimensions.fandom.com/wiki/-,"{""-s"": 1}",1
39331,1,the amount of love EA receives,465,495,internal,https://alldimensions.fandom.com/wiki/The_amount_of_love_EA_receives,"{""the amount of love EA receives"": 1}",1
39331,2,Class -2,21,29,internal,https://alldimensions.fandom.com/wiki/Category:Class_-2,"{""Class -2"": 1}",1
39331,2,[1],180,183,anchor,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki#cite_note-1,"{""[1]"": 1}",1
39331,5,null,258,262,internal,https://alldimensions.fandom.com/wiki/-null-,"{""null"": 1}",1
39331,8,universal,160,169,external,https://en.wikipedia.org/wiki/Universal_quantification,"{""universal"": 1}",1
39331,12,Existence Rank,93,107,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence Rank"": 1}",1
